"sample","site","moist_grav","temp","CO2","C13","flask_vol","dry_soil","moist_vol","time_accum","tstage","qflag","sec","hour","day","air_vol","air_mol","C_R","order","C_R_r","sd.r","cv.r","sd.acc"
55,"maize",0.17,35,5306,-21.15,500,90,0.306,44,7,FALSE,7516800,2088,87,465.384615384615,0.0191044430745383,0.0135157566604667,466,0.30717628773788,0.131507499079811,0.324369577963133,0.00438410028380799
55,"maize",0.17,5,15898.39,-20.29,500,90,0.306,1694,8,FALSE,13911480,3864,161,465.384615384615,0.0191044430745383,0.0404973182309079,467,0.0239063271729091,0.00554280830646622,0.273243404009351,0.0110656250866632
55,"maize",0.17,20,34507.72,-23.93,500,90,0.306,388,9,FALSE,15815280,4393,183.041666666667,465.384615384615,0.0191044430745383,0.0879001029829477,468,0.226546657172546,0.0714656872777456,0.294113687490184,0.0258526234190817
55,"maize",0.17,35,30644.29,-23.09,500,90,0.306,159,10,FALSE,17024580,4729,197.041666666667,465.384615384615,0.0191044430745383,0.0780589458486192,469,0.490936766343517,0.131507499079811,0.324369577963133,0.0253199473211637
56,"maize",0.17,5,403.5,-18.69,500,90,0.306,72,1,FALSE,1332000,370,15.4166666666667,465.384615384615,0.0191044430745383,0.00102781903741016,470,0.0142752644084745,0.00554280830646622,0.273243404009351,0.000280844772487567
56,"maize",0.17,5,1147.46,-19.34,500,90,0.306,120,2,FALSE,1764000,490,20.4166666666667,465.384615384615,0.0191044430745383,0.0029228779000413,471,0.0243573158336775,0.00554280830646622,0.273243404009351,0.000798657106910989
56,"maize",0.17,5,1434.5,-19.37,500,90,0.306,240,3,FALSE,2628000,730,30.4166666666667,465.384615384615,0.0191044430745383,0.00365404314539003,472,0.0152251797724585,0.00554280830646622,0.273243404009351,0.000998443187443409
56,"maize",0.17,20,8646,-22.46,500,90,0.306,72,4,FALSE,5565600,1546,64.4166666666667,465.384615384615,0.0191044430745383,0.0220236019763278,473,0.30588336078233,0.0714656872777456,0.294113687490184,0.00647744278907386
56,"maize",0.17,20,18762.5,-24.42,500,90,0.306,306,5,FALSE,6667200,1852,77.1666666666667,465.384615384615,0.0191044430745383,0.0477929484248034,474,0.15618610596341,0.0714656872777456,0.294113687490184,0.0140565602972471
56,"maize",0.17,20,6643,-23.94,500,90,0.306,75,6,FALSE,6937500,1927,80.2916666666667,465.384615384615,0.0191044430745383,0.0169214420458878,475,0.225619227278503,0.0714656872777456,0.294113687490184,0.00497682771776748
