sample,site,moist_grav,temp,preinc_start,preinc_end,inc_start,inc_end,CO2,C13,flask_vol,dry_soil
18,bare_fallow,12,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,10787.5,-28.78,500,90
18,bare_fallow,12,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,4244,-28.16,500,90
18,bare_fallow,12,35,22/07/11 18:00,23/07/11 20:39,23/07/11 20:39,24/07/11 17:07,2042.5,-27.96,500,90
18,bare_fallow,12,5,24/07/11 17:07,02/08/11 00:00,02/08/11 00:00,14/10/11 17:37,3471.73,-26.31,500,90
18,bare_fallow,12,35,14/10/11 17:37,17/10/11 00:00,17/10/11 00:00,18/10/11 18:44,3846.32,-26.92,500,90
18,bare_fallow,12,35,18/10/11 18:44,18/10/11 00:00,18/10/11 00:00,25/10/11 12:50,19056.68,-27.46,500,90
18,bare_fallow,12,20,25/10/11 12:50,10/11/11 00:00,10/11/11 00:00,17/11/11 16:57,5608.81,-27.12,500,90
19,bare_fallow,13,5,19/05/11 00:00,19/05/11 00:00,19/05/11 00:00,23/06/11 00:00,5210.5,-30.03,500,90
19,bare_fallow,13,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,12281,-28.63,500,90
19,bare_fallow,13,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,4587,-28.44,500,90
19,bare_fallow,13,35,22/07/11 18:00,23/07/11 20:34,23/07/11 20:34,24/07/11 16:44,1704.5,-27.88,500,90
19,bare_fallow,13,5,24/07/11 16:44,02/08/11 00:00,02/08/11 00:00,14/10/11 15:05,3897.91,-26.97,500,90
19,bare_fallow,13,35,14/10/11 15:05,17/10/11 11:00,17/10/11 11:00,18/10/11 18:14,3087.3,-26.52,500,90
19,bare_fallow,13,35,18/10/11 18:14,18/10/11 00:00,18/10/11 00:00,25/10/11 13:24,15191.37,-27.04,500,90
19,bare_fallow,13,20,25/10/11 13:24,10/11/11 00:00,10/11/11 00:00,17/11/11 16:47,3585.17,-26.28,500,90
20,bare_fallow,13,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,116.25,,500,90
20,bare_fallow,13,5,19/05/11 00:00,19/05/11 00:00,19/05/11 00:00,24/05/11 00:00,135.79,-25.87,500,90
20,bare_fallow,13,5,24/05/11 00:00,27/05/11 00:00,27/05/11 00:00,14/06/11 00:00,560.5,-25.16,500,90
20,bare_fallow,13,5,14/06/11 00:00,14/06/11 00:00,14/06/11 00:00,23/06/11 00:00,663.5,-25.5,500,90
20,bare_fallow,13,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,9368.5,-29.36,500,90
20,bare_fallow,13,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,3566,-28.15,500,90
20,bare_fallow,13,35,22/07/11 18:00,23/07/11 20:41,23/07/11 20:41,24/07/11 16:28,1063,-27.25,500,90
20,bare_fallow,13,5,24/07/11 16:28,02/08/11 00:00,02/08/11 00:00,14/10/11 14:59,2684.05,-26.54,500,90
