"sample","hour","temp","moist","litter_met","litter_str"
52,2088,308,0.27,0,0
52,2089,278,0.27,0,0
52,3865,278,0.27,0,0
52,3866,293,0.27,0,0
52,4394,293,0.27,0,0
52,4395,308,0.27,0,0
52,4730,308,0.27,0,0
53,0,278,0.27,0,0
53,730,278,0.27,0,0
53,731,293,0.27,0,0
53,1927,293,0.27,0,0
53,1928,308,0.27,0,0
53,2088,308,0.27,0,0
53,2089,278,0.27,0,0
53,3865,278,0.27,0,0
53,3866,293,0.27,0,0
53,4394,293,0.27,0,0
53,4395,308,0.27,0,0
53,4730,308,0.27,0,0
54,0,278,0.27,0,0
54,240,278,0.27,0,0
54,241,293,0.27,0,0
54,1437,293,0.27,0,0
54,1438,308,0.27,0,0
54,1598,308,0.27,0,0
54,1599,278,0.27,0,0
54,3375,278,0.27,0,0
54,3376,293,0.27,0,0
54,3904,293,0.27,0,0
54,3905,308,0.27,0,0
54,4241,308,0.27,0,0
55,0,278,0.306,0,0
55,730,278,0.306,0,0
55,731,293,0.306,0,0
55,1927,293,0.306,0,0
55,1928,308,0.306,0,0
55,2088,308,0.306,0,0
55,2089,278,0.306,0,0
55,3864,278,0.306,0,0
55,3865,293,0.306,0,0
55,4393,293,0.306,0,0
55,4394,308,0.306,0,0
55,4729,308,0.306,0,0
56,0,278,0.306,0,0
56,730,278,0.306,0,0
56,731,293,0.306,0,0
56,1927,293,0.306,0,0
56,1928,308,0.306,0,0
56,2088,308,0.306,0,0
56,2089,278,0.306,0,0
56,3864,278,0.306,0,0
56,3865,293,0.306,0,0
56,4393,293,0.306,0,0
56,4394,308,0.306,0,0
56,4730,308,0.306,0,0
57,0,278,0.306,0,0
57,360,278,0.306,0,0
57,361,293,0.306,0,0
57,1557,293,0.306,0,0
57,1558,308,0.306,0,0
57,1718,308,0.306,0,0
57,1719,278,0.306,0,0
57,3494,278,0.306,0,0
57,3495,293,0.306,0,0
57,4023,293,0.306,0,0
57,4024,308,0.306,0,0
57,4359,308,0.306,0,0
58,0,278,0.342,0,0
58,730,278,0.342,0,0
58,731,293,0.342,0,0
58,1923,293,0.342,0,0
58,1924,308,0.342,0,0
58,2088,308,0.342,0,0
58,2089,278,0.342,0,0
58,3864,278,0.342,0,0
58,3865,293,0.342,0,0
58,4393,293,0.342,0,0
58,4394,308,0.342,0,0
58,4729,308,0.342,0,0
59,0,278,0.342,0,0
59,730,278,0.342,0,0
59,731,293,0.342,0,0
59,1923,293,0.342,0,0
59,1924,308,0.342,0,0
59,2088,308,0.342,0,0
59,2089,278,0.342,0,0
59,3863,278,0.342,0,0
59,3864,293,0.342,0,0
59,4393,293,0.342,0,0
59,4394,308,0.342,0,0
59,4731,308,0.342,0,0
60,0,278,0.342,0,0
60,360,278,0.342,0,0
60,361,293,0.342,0,0
60,1553,293,0.342,0,0
60,1554,308,0.342,0,0
60,1718,308,0.342,0,0
60,1719,278,0.342,0,0
60,3493,278,0.342,0,0
60,3494,293,0.342,0,0
60,4023,293,0.342,0,0
60,4024,308,0.342,0,0
60,4359,308,0.342,0,0
61,0,278,0.378,0,0
61,730,278,0.378,0,0
61,731,293,0.378,0,0
61,1923,293,0.378,0,0
61,1924,308,0.378,0,0
61,2088,308,0.378,0,0
61,2089,278,0.378,0,0
61,3862,278,0.378,0,0
61,3863,293,0.378,0,0
61,4393,293,0.378,0,0
61,4394,308,0.378,0,0
61,4729,308,0.378,0,0
62,0,278,0.378,0,0
62,730,278,0.378,0,0
62,731,293,0.378,0,0
62,1923,293,0.378,0,0
62,1924,308,0.378,0,0
62,2088,308,0.378,0,0
62,2089,278,0.378,0,0
62,3862,278,0.378,0,0
62,3863,293,0.378,0,0
62,4392,293,0.378,0,0
62,4393,308,0.378,0,0
62,4729,308,0.378,0,0
63,0,278,0.378,0,0
63,360,278,0.378,0,0
63,361,293,0.378,0,0
63,1553,293,0.378,0,0
63,1554,308,0.378,0,0
63,1718,308,0.378,0,0
63,1719,278,0.378,0,0
63,3480,293,0.378,0,0
63,4022,293,0.378,0,0
